Season,HomeTeam,AwayTeam,Home_Overall,Home_Att,Home_Mid,Home_Def,Home_Pace,Away_Overall,Away_Att,Away_Mid,Away_Def,Away_Pace,FTHG,FTAG
2014-2015,Manchester United,Swansea City,74.0,49.645161290322584,65.3225806451613,52.96774193548387,70.2258064516129,69.0909090909091,47.42424242424242,62.96969696969697,54.24242424242424,68.27272727272727,1,2
2014-2015,Leicester City,Everton,67.81818181818181,48.333333333333336,57.39393939393939,49.60606060606061,65.21212121212122,72.39393939393939,51.96969696969697,67.36363636363636,56.09090909090909,70.57575757575758,2,2
2014-2015,West Ham United,Tottenham Hotspur,68.21212121212122,46.515151515151516,58.484848484848484,54.24242424242424,66.87878787878788,71.15151515151516,51.96969696969697,65.3030303030303,54.121212121212125,72.18181818181819,0,1
2014-2015,West Bromwich Albion,Sunderland,68.03030303030303,49.78787878787879,60.84848484848485,54.39393939393939,62.63636363636363,68.06060606060606,50.90909090909091,60.75757575757576,49.303030303030305,65.63636363636364,2,2
2014-2015,Stoke City,Aston Villa,70.24242424242425,52.03030303030303,63.15151515151515,51.27272727272727,64.87878787878788,70.84848484848484,52.0,62.515151515151516,51.666666666666664,68.54545454545455,0,1
2014-2015,Queens Park Rangers,Hull City,69.36363636363636,51.878787878787875,62.84848484848485,53.84848484848485,66.3030303030303,67.51515151515152,49.45454545454545,59.121212121212125,51.18181818181818,66.42424242424242,0,1
2014-2015,Arsenal,Crystal Palace,73.24242424242425,50.72727272727273,66.72727272727273,56.121212121212125,67.84848484848484,69.9090909090909,52.21212121212121,61.75757575757576,50.878787878787875,67.81818181818181,2,1
2014-2015,Liverpool,Southampton,71.66666666666667,51.878787878787875,66.48484848484848,54.45454545454545,72.36363636363636,69.42424242424242,53.121212121212125,62.06060606060606,47.72727272727273,70.24242424242425,2,1
2014-2015,Newcastle United,Manchester City,69.63636363636364,51.63636363636363,62.696969696969695,51.57575757575758,67.03030303030303,72.18181818181819,52.333333333333336,65.27272727272727,51.39393939393939,70.54545454545455,0,2
2014-2015,Burnley,Chelsea,64.63636363636364,46.63636363636363,56.45454545454545,50.878787878787875,64.96969696969697,71.81818181818181,52.60606060606061,64.24242424242425,54.75757575757576,73.21212121212122,1,3
2014-2015,Aston Villa,Newcastle United,70.84848484848484,52.0,62.515151515151516,51.666666666666664,68.54545454545455,69.63636363636364,51.63636363636363,62.696969696969695,51.57575757575758,67.03030303030303,0,0
2014-2015,Chelsea,Leicester City,71.81818181818181,52.60606060606061,64.24242424242425,54.75757575757576,73.21212121212122,67.81818181818181,48.333333333333336,57.39393939393939,49.60606060606061,65.21212121212122,2,0
2014-2015,Crystal Palace,West Ham United,69.9090909090909,52.21212121212121,61.75757575757576,50.878787878787875,67.81818181818181,68.21212121212122,46.515151515151516,58.484848484848484,54.24242424242424,66.87878787878788,1,3
2014-2015,Swansea City,Burnley,69.0909090909091,47.42424242424242,62.96969696969697,54.24242424242424,68.27272727272727,64.63636363636364,46.63636363636363,56.45454545454545,50.878787878787875,64.96969696969697,1,0
2014-2015,Southampton,West Bromwich Albion,69.42424242424242,53.121212121212125,62.06060606060606,47.72727272727273,70.24242424242425,68.03030303030303,49.78787878787879,60.84848484848485,54.39393939393939,62.63636363636363,0,0
2014-2015,Everton,Arsenal,72.39393939393939,51.96969696969697,67.36363636363636,56.09090909090909,70.57575757575758,73.24242424242425,50.72727272727273,66.72727272727273,56.121212121212125,67.84848484848484,2,2
2014-2015,Tottenham Hotspur,Queens Park Rangers,71.15151515151516,51.96969696969697,65.3030303030303,54.121212121212125,72.18181818181819,69.36363636363636,51.878787878787875,62.84848484848485,53.84848484848485,66.3030303030303,4,0
2014-2015,Hull City,Stoke City,67.51515151515152,49.45454545454545,59.121212121212125,51.18181818181818,66.42424242424242,70.24242424242425,52.03030303030303,63.15151515151515,51.27272727272727,64.87878787878788,1,1
2014-2015,Sunderland,Manchester United,68.06060606060606,50.90909090909091,60.75757575757576,49.303030303030305,65.63636363636364,74.0,49.645161290322584,65.3225806451613,52.96774193548387,70.2258064516129,1,1
2014-2015,Manchester City,Liverpool,72.18181818181819,52.333333333333336,65.27272727272727,51.39393939393939,70.54545454545455,71.66666666666667,51.878787878787875,66.48484848484848,54.45454545454545,72.36363636363636,3,1
2014-2015,Burnley,Manchester United,64.63636363636364,46.63636363636363,56.45454545454545,50.878787878787875,64.96969696969697,74.0,49.645161290322584,65.3225806451613,52.96774193548387,70.2258064516129,0,0
2014-2015,Swansea City,West Bromwich Albion,69.0909090909091,47.42424242424242,62.96969696969697,54.24242424242424,68.27272727272727,68.03030303030303,49.78787878787879,60.84848484848485,54.39393939393939,62.63636363636363,3,0
2014-2015,West Ham United,Southampton,68.21212121212122,46.515151515151516,58.484848484848484,54.24242424242424,66.87878787878788,69.42424242424242,53.121212121212125,62.06060606060606,47.72727272727273,70.24242424242425,1,3
2014-2015,Newcastle United,Crystal Palace,69.63636363636364,51.63636363636363,62.696969696969695,51.57575757575758,67.03030303030303,69.9090909090909,52.21212121212121,61.75757575757576,50.878787878787875,67.81818181818181,3,3
2014-2015,Queens Park Rangers,Sunderland,69.36363636363636,51.878787878787875,62.84848484848485,53.84848484848485,66.3030303030303,68.06060606060606,50.90909090909091,60.75757575757576,49.303030303030305,65.63636363636364,1,0
2014-2015,Manchester City,Stoke City,72.18181818181819,52.333333333333336,65.27272727272727,51.39393939393939,70.54545454545455,70.24242424242425,52.03030303030303,63.15151515151515,51.27272727272727,64.87878787878788,0,1
2014-2015,Everton,Chelsea,72.39393939393939,51.96969696969697,67.36363636363636,56.09090909090909,70.57575757575758,71.81818181818181,52.60606060606061,64.24242424242425,54.75757575757576,73.21212121212122,3,6
2014-2015,Tottenham Hotspur,Liverpool,71.15151515151516,51.96969696969697,65.3030303030303,54.121212121212125,72.18181818181819,71.66666666666667,51.878787878787875,66.48484848484848,54.45454545454545,72.36363636363636,0,3
2014-2015,Aston Villa,Hull City,70.84848484848484,52.0,62.515151515151516,51.666666666666664,68.54545454545455,67.51515151515152,49.45454545454545,59.121212121212125,51.18181818181818,66.42424242424242,2,1
2014-2015,Leicester City,Arsenal,67.81818181818181,48.333333333333336,57.39393939393939,49.60606060606061,65.21212121212122,73.24242424242425,50.72727272727273,66.72727272727273,56.121212121212125,67.84848484848484,1,1
2014-2015,Arsenal,Manchester City,73.24242424242425,50.72727272727273,66.72727272727273,56.121212121212125,67.84848484848484,72.18181818181819,52.333333333333336,65.27272727272727,51.39393939393939,70.54545454545455,2,2
2014-2015,Crystal Palace,Burnley,69.9090909090909,52.21212121212121,61.75757575757576,50.878787878787875,67.81818181818181,64.63636363636364,46.63636363636363,56.45454545454545,50.878787878787875,64.96969696969697,0,0
2014-2015,Stoke City,Leicester City,70.24242424242425,52.03030303030303,63.15151515151515,51.27272727272727,64.87878787878788,67.81818181818181,48.333333333333336,57.39393939393939,49.60606060606061,65.21212121212122,0,1
2014-2015,Chelsea,Swansea City,71.81818181818181,52.60606060606061,64.24242424242425,54.75757575757576,73.21212121212122,69.0909090909091,47.42424242424242,62.96969696969697,54.24242424242424,68.27272727272727,4,2
2014-2015,West Bromwich Albion,Everton,68.03030303030303,49.78787878787879,60.84848484848485,54.39393939393939,62.63636363636363,72.39393939393939,51.96969696969697,67.36363636363636,56.09090909090909,70.57575757575758,0,2
2014-2015,Southampton,Newcastle United,69.42424242424242,53.121212121212125,62.06060606060606,47.72727272727273,70.24242424242425,69.63636363636364,51.63636363636363,62.696969696969695,51.57575757575758,67.03030303030303,4,0
2014-2015,Sunderland,Tottenham Hotspur,68.06060606060606,50.90909090909091,60.75757575757576,49.303030303030305,65.63636363636364,71.15151515151516,51.96969696969697,65.3030303030303,54.121212121212125,72.18181818181819,2,2
2014-2015,Liverpool,Aston Villa,71.66666666666667,51.878787878787875,66.48484848484848,54.45454545454545,72.36363636363636,70.84848484848484,52.0,62.515151515151516,51.666666666666664,68.54545454545455,0,1
2014-2015,Manchester United,Queens Park Rangers,74.0,49.645161290322584,65.3225806451613,52.96774193548387,70.2258064516129,69.36363636363636,51.878787878787875,62.84848484848485,53.84848484848485,66.3030303030303,4,0
2014-2015,Hull City,West Ham United,67.51515151515152,49.45454545454545,59.121212121212125,51.18181818181818,66.42424242424242,68.21212121212122,46.515151515151516,58.484848484848484,54.24242424242424,66.87878787878788,2,2
2014-2015,Queens Park Rangers,Stoke City,69.36363636363636,51.878787878787875,62.84848484848485,53.84848484848485,66.3030303030303,70.24242424242425,52.03030303030303,63.15151515151515,51.27272727272727,64.87878787878788,2,2
2014-2015,Burnley,Sunderland,64.63636363636364,46.63636363636363,56.45454545454545,50.878787878787875,64.96969696969697,68.06060606060606,50.90909090909091,60.75757575757576,49.303030303030305,65.63636363636364,0,0
2014-2015,Aston Villa,Arsenal,70.84848484848484,52.0,62.515151515151516,51.666666666666664,68.54545454545455,73.24242424242425,50.72727272727273,66.72727272727273,56.121212121212125,67.84848484848484,0,3
2014-2015,Newcastle United,Hull City,69.63636363636364,51.63636363636363,62.696969696969695,51.57575757575758,67.03030303030303,67.51515151515152,49.45454545454545,59.121212121212125,51.18181818181818,66.42424242424242,2,2
2014-2015,Swansea City,Southampton,69.0909090909091,47.42424242424242,62.96969696969697,54.24242424242424,68.27272727272727,69.42424242424242,53.121212121212125,62.06060606060606,47.72727272727273,70.24242424242425,0,1
2014-2015,West Ham United,Liverpool,68.21212121212122,46.515151515151516,58.484848484848484,54.24242424242424,66.87878787878788,71.66666666666667,51.878787878787875,66.48484848484848,54.45454545454545,72.36363636363636,3,1
2014-2015,Tottenham Hotspur,West Bromwich Albion,71.15151515151516,51.96969696969697,65.3030303030303,54.121212121212125,72.18181818181819,68.03030303030303,49.78787878787879,60.84848484848485,54.39393939393939,62.63636363636363,0,1
2014-2015,Leicester City,Manchester United,67.81818181818181,48.333333333333336,57.39393939393939,49.60606060606061,65.21212121212122,74.0,49.645161290322584,65.3225806451613,52.96774193548387,70.2258064516129,5,3
