Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HC,AC,HF,AF,HO,AO
2011-2012,1. Matchday,,,1,2,0,0,0,0,0,0,0,0
2011-2012,1. Matchday,,,0,0,0,0,0,0,0,0,0,0
2011-2012,1. Matchday,,,1,1,0,0,0,0,0,0,0,0
2011-2012,1. Matchday,,,0,4,0,0,0,0,0,0,0,0
2011-2012,1. Matchday,,,1,1,0,0,0,0,0,0,0,0
2011-2012,1. Matchday,,,0,0,0,0,0,0,0,0,0,0
2011-2012,1. Matchday,,,0,0,0,0,0,0,0,0,0,0
2011-2012,1. Matchday,,,1,2,0,0,0,0,0,0,0,0
2011-2012,1. Matchday,,,4,0,0,0,0,0,0,0,0,0
2011-2012,1. Matchday,,,2,0,0,0,0,0,0,0,0,0
2011-2012,2. Matchday,,,0,1,0,0,0,0,0,0,0,0
2011-2012,2. Matchday,,,0,2,0,0,0,0,0,0,0,0
2011-2012,2. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,2. Matchday,,,0,1,0,0,0,0,0,0,0,0
2011-2012,2. Matchday,,,0,0,0,0,0,0,0,0,0,0
2011-2012,2. Matchday,,,2,1,0,0,0,0,0,0,0,0
2011-2012,2. Matchday,,,1,1,0,0,0,0,0,0,0,0
2011-2012,2. Matchday,,,2,0,0,0,0,0,0,0,0,0
2011-2012,2. Matchday,,,2,3,0,0,0,0,0,0,0,0
2011-2012,2. Matchday,,,3,0,0,0,0,0,0,0,0,0
2011-2012,3. Matchday,,,0,0,0,0,0,0,0,0,0,0
2011-2012,3. Matchday,,,2,0,0,0,0,0,0,0,0,0
2011-2012,3. Matchday,,,0,1,0,0,0,0,0,0,0,0
2011-2012,3. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,3. Matchday,,,0,0,0,0,0,0,0,0,0,0
2011-2012,3. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,3. Matchday,,,2,1,0,0,0,0,0,0,0,0
2011-2012,3. Matchday,,,1,5,0,0,0,0,0,0,0,0
2011-2012,3. Matchday,,,0,1,0,0,0,0,0,0,0,0
2011-2012,3. Matchday,,,8,2,0,0,0,0,0,0,0,0
2011-2012,4. Matchday,,,1,0,0,0,0,0,0,0,0,0
2011-2012,4. Matchday,,,2,2,0,0,0,0,0,0,0,0
2011-2012,4. Matchday,,,3,0,0,0,0,0,0,0,0,0
2011-2012,4. Matchday,,,1,0,0,0,0,0,0,0,0,0
2011-2012,4. Matchday,,,1,2,0,0,0,0,0,0,0,0
2011-2012,4. Matchday,,,0,2,0,0,0,0,0,0,0,0
2011-2012,4. Matchday,,,0,5,0,0,0,0,0,0,0,0
2011-2012,4. Matchday,,,0,1,0,0,0,0,0,0,0,0
2011-2012,4. Matchday,,,1,1,0,0,0,0,0,0,0,0
2011-2012,4. Matchday,,,0,0,0,0,0,0,0,0,0,0
2011-2012,5. Matchday,,,4,3,0,0,0,0,0,0,0,0
2011-2012,5. Matchday,,,1,1,0,0,0,0,0,0,0,0
2011-2012,5. Matchday,,,1,2,0,0,0,0,0,0,0,0
2011-2012,5. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,5. Matchday,,,3,0,0,0,0,0,0,0,0,0
2011-2012,5. Matchday,,,0,3,0,0,0,0,0,0,0,0
2011-2012,5. Matchday,,,4,0,0,0,0,0,0,0,0,0
2011-2012,5. Matchday,,,2,2,0,0,0,0,0,0,0,0
2011-2012,5. Matchday,,,4,0,0,0,0,0,0,0,0,0
2011-2012,5. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,6. Matchday,,,2,0,0,0,0,0,0,0,0,0
2011-2012,6. Matchday,,,3,0,0,0,0,0,0,0,0,0
2011-2012,6. Matchday,,,4,1,0,0,0,0,0,0,0,0
2011-2012,6. Matchday,,,2,1,0,0,0,0,0,0,0,0
2011-2012,6. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,6. Matchday,,,0,0,0,0,0,0,0,0,0,0
2011-2012,6. Matchday,,,1,2,0,0,0,0,0,0,0,0
2011-2012,6. Matchday,,,1,1,0,0,0,0,0,0,0,0
2011-2012,6. Matchday,,,1,1,0,0,0,0,0,0,0,0
2011-2012,6. Matchday,,,2,1,0,0,0,0,0,0,0,0
2011-2012,7. Matchday,,,0,2,0,0,0,0,0,0,0,0
2011-2012,7. Matchday,,,2,0,0,0,0,0,0,0,0,0
2011-2012,7. Matchday,,,0,4,0,0,0,0,0,0,0,0
2011-2012,7. Matchday,,,2,0,0,0,0,0,0,0,0,0
2011-2012,7. Matchday,,,2,2,0,0,0,0,0,0,0,0
2011-2012,7. Matchday,,,1,2,0,0,0,0,0,0,0,0
2011-2012,7. Matchday,,,1,5,0,0,0,0,0,0,0,0
2011-2012,7. Matchday,,,6,0,0,0,0,0,0,0,0,0
2011-2012,7. Matchday,,,2,0,0,0,0,0,0,0,0,0
2011-2012,7. Matchday,,,2,1,0,0,0,0,0,0,0,0
2011-2012,8. Matchday,,,1,1,0,0,0,0,0,0,0,0
2011-2012,8. Matchday,,,4,1,0,0,0,0,0,0,0,0
2011-2012,8. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,8. Matchday,,,1,1,0,0,0,0,0,0,0,0
2011-2012,8. Matchday,,,2,0,0,0,0,0,0,0,0,0
2011-2012,8. Matchday,,,1,3,0,0,0,0,0,0,0,0
2011-2012,8. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,8. Matchday,,,2,0,0,0,0,0,0,0,0,0
2011-2012,8. Matchday,,,2,1,0,0,0,0,0,0,0,0
2011-2012,8. Matchday,,,2,2,0,0,0,0,0,0,0,0
2011-2012,9. Matchday,,,2,2,0,0,0,0,0,0,0,0
2011-2012,9. Matchday,,,1,2,0,0,0,0,0,0,0,0
2011-2012,9. Matchday,,,0,2,0,0,0,0,0,0,0,0
2011-2012,9. Matchday,,,1,0,0,0,0,0,0,0,0,0
2011-2012,9. Matchday,,,1,1,0,0,0,0,0,0,0,0
2011-2012,9. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,9. Matchday,,,1,3,0,0,0,0,0,0,0,0
2011-2012,9. Matchday,,,1,6,0,0,0,0,0,0,0,0
2011-2012,9. Matchday,,,1,2,0,0,0,0,0,0,0,0
2011-2012,9. Matchday,,,1,0,0,0,0,0,0,0,0,0
2011-2012,10. Matchday,,,0,1,0,0,0,0,0,0,0,0
2011-2012,10. Matchday,,,3,5,0,0,0,0,0,0,0,0
2011-2012,10. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,10. Matchday,,,3,3,0,0,0,0,0,0,0,0
2011-2012,10. Matchday,,,2,2,0,0,0,0,0,0,0,0
2011-2012,10. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,10. Matchday,,,0,2,0,0,0,0,0,0,0,0
2011-2012,10. Matchday,,,0,2,0,0,0,0,0,0,0,0
2011-2012,10. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,10. Matchday,,,1,3,0,0,0,0,0,0,0,0
2011-2012,11. Matchday,,,2,1,0,0,0,0,0,0,0,0
2011-2012,11. Matchday,,,3,0,0,0,0,0,0,0,0,0
2011-2012,11. Matchday,,,3,2,0,0,0,0,0,0,0,0
2011-2012,11. Matchday,,,0,1,0,0,0,0,0,0,0,0
2011-2012,11. Matchday,,,0,0,0,0,0,0,0,0,0,0
2011-2012,11. Matchday,,,1,0,0,0,0,0,0,0,0,0
2011-2012,11. Matchday,,,2,3,0,0,0,0,0,0,0,0
2011-2012,11. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,11. Matchday,,,5,0,0,0,0,0,0,0,0,0
2011-2012,11. Matchday,,,1,3,0,0,0,0,0,0,0,0
2011-2012,12. Matchday,,,1,2,0,0,0,0,0,0,0,0
2011-2012,12. Matchday,,,2,1,0,0,0,0,0,0,0,0
2011-2012,12. Matchday,,,3,1,0,0,0,0,0,0,0,0
2011-2012,12. Matchday,,,2,3,0,0,0,0,0,0,0,0
2011-2012,12. Matchday,,,0,0,0,0,0,0,0,0,0,0
2011-2012,12. Matchday,,,2,1,0,0,0,0,0,0,0,0
2011-2012,12. Matchday,,,3,3,0,0,0,0,0,0,0,0
2011-2012,12. Matchday,,,0,1,0,0,0,0,0,0,0,0
2011-2012,12. Matchday,,,1,2,0,0,0,0,0,0,0,0
2011-2012,12. Matchday,,,2,0,0,0,0,0,0,0,0,0
