Season,Team,Player,Position,Nationality
2000-2001,Leeds United,Nigel Martyn,,
2000-2001,Leeds United,Paul Robinson,,
2000-2001,Leeds United,Dejan Milosevic,,
2000-2001,Leeds United,Lucas Radebe,,
2000-2001,Leeds United,Jonathan Woodgate,,
2000-2001,Leeds United,Michael Duberry,,
2000-2001,Leeds United,Danny Hay,,
2000-2001,Leeds United,Rio Ferdinand,,
2000-2001,Leeds United,Robert Molenaar,,
2000-2001,Leeds United,Ian Harte,,
2000-2001,Leeds United,Dominic Matteo,,
2000-2001,Leeds United,Gareth Evans,,
2000-2001,Leeds United,Gary Kelly,,
2000-2001,Leeds United,Danny Mills,,
2000-2001,Leeds United,Alan Maybury,,
2000-2001,Leeds United,Olivier Dacourt,,
2000-2001,Leeds United,David Batty,,
2000-2001,Leeds United,Jacob Burns,,
2000-2001,Leeds United,Wesley Boyle,,
2000-2001,Leeds United,Lee Bowyer,,
2000-2001,Leeds United,Alan Smith,,
2000-2001,Leeds United,Eirik Bakke,,
2000-2001,Leeds United,Matt Jones,,
2000-2001,Leeds United,Jamie McMaster,,
2000-2001,Leeds United,Kevin Aherne-Evans,,
2000-2001,Leeds United,Stephen McPhail,,
2000-2001,Leeds United,Jason Wilcox,,
2000-2001,Leeds United,Tony Hackworth,,
2000-2001,Leeds United,Harry Kewell,,
2000-2001,Leeds United,Robbie Keane,,
2000-2001,Leeds United,Michael Bridges,,
2000-2001,Leeds United,Mark Viduka,,
2000-2001,Leeds United,Darren Huckerby,,
2000-2001,Bradford City,Gary Walsh,,
2000-2001,Bradford City,Neville Southall,,
2000-2001,Bradford City,Jon Worsnop,,
2000-2001,Bradford City,Matt Clarke,,
2000-2001,Bradford City,Aidan Davison,,
2000-2001,Bradford City,Matt Lawrence,,
2000-2001,Bradford City,David Wetherall,,
2000-2001,Bradford City,Ashley Westwood,,
2000-2001,Bradford City,Robert Molenaar,,
2000-2001,Bradford City,Andrew O'Brien,,
2000-2001,Bradford City,Peter Atherton,,
2000-2001,Bradford City,Wayne Jacobs,,
2000-2001,Bradford City,Mark Bower,,
2000-2001,Bradford City,Andy Myers,,
2000-2001,Bradford City,Lewis Emanuel,,
2000-2001,Bradford City,Andy Lee,,
2000-2001,Bradford City,Lee Todd,,
2000-2001,Bradford City,Ian Nolan,,
2000-2001,Bradford City,Gunnar Halle,,
2000-2001,Bradford City,Dan Petrescu,,
2000-2001,Bradford City,Adam Hardy,,
2000-2001,Bradford City,Craig Fishlock,,
2000-2001,Bradford City,Gary Locke,,
2000-2001,Bradford City,Stuart McCall,,
2000-2001,Bradford City,Gareth Whalley,,
2000-2001,Bradford City,Jamie Lawrence,,
2000-2001,Bradford City,Scott Kerr,,
2000-2001,Bradford City,Billy McKinlay,,
2000-2001,Bradford City,David Hopkin,,
2000-2001,Bradford City,Lee Sharpe,,
2000-2001,Bradford City,Peter Beagrie,,
2000-2001,Bradford City,Robbie Blake,,
2000-2001,Bradford City,Benny Carbone,,
2000-2001,Bradford City,Eoin Jess,,
2000-2001,Bradford City,Ashley Ward,,
2000-2001,Bradford City,Lee Mills,,
2000-2001,Bradford City,Ben Jones,,
2000-2001,Bradford City,Dean Windass,,
2000-2001,Bradford City,Isaiah Rankin,,
2000-2001,Bradford City,Dean Saunders,,
2000-2001,Bradford City,Gareth Grant,,
2000-2001,Bradford City,Stan Collymore,,
2000-2001,Leicester City,Tim Flowers,,
2000-2001,Leicester City,Simon Royce,,
2000-2001,Leicester City,Michael Price,,
2000-2001,Leicester City,Ian Andrews,,
2000-2001,Leicester City,Gerry Taggart,,
2000-2001,Leicester City,Jon Ashton,,
2000-2001,Leicester City,Frank Sinclair,,
2000-2001,Leicester City,Steve Walsh,,
2000-2001,Leicester City,Phil Gilchrist,,
2000-2001,Leicester City,Matt Elliott,,
2000-2001,Leicester City,Damien Delaney,,
2000-2001,Leicester City,Danny Thomas,,
2000-2001,Leicester City,Callum Davidson,,
2000-2001,Leicester City,Jordan Stewart,,
2000-2001,Leicester City,Gary Rowett,,
2000-2001,Leicester City,Andy Impey,,
2000-2001,Leicester City,Robbie Savage,,
2000-2001,Leicester City,Stuart Campbell,,
2000-2001,Leicester City,Matt Jones,,
2000-2001,Leicester City,Neil Lennon,,
2000-2001,Leicester City,Stefan Oakes,,
2000-2001,Leicester City,Lee Marshall,,
2000-2001,Leicester City,Muzzy Izzet,,
